City,Latitude,Longtitude,country,iso2,State,capital,Population,population_proper
Laidley,-27.6313,152.3938,Australia,AU,Queensland,,3808,3808
LakeCathie,-31.5483,152.8511,Australia,AU,New South Wales,,3494,3494
LakesEntrance,-37.8667,147.9833,Australia,AU,Victoria,,4810,4810
Lancefield,-37.2667,144.7167,Australia,AU,Victoria,,2455,2455
Landsborough,-26.8091,152.9655,Australia,AU,Queensland,,3812,3812
Lara,-38.0167,144.4167,Australia,AU,Victoria,,16355,16355
Latrobe,-41.2464,146.4246,Australia,AU,Tasmania,,4169,4169
Launceston,-41.4419,147.145,Australia,AU,Tasmania,,87328,87328
Lawson,-33.7178,150.4322,Australia,AU,New South Wales,,2614,2614
Leeton,-34.5483,146.4011,Australia,AU,New South Wales,,8623,8623
Legana,-41.3667,147.05,Australia,AU,Tasmania,,4029,4029
LennoxHead,-28.7983,153.5844,Australia,AU,New South Wales,,6407,6407
Leongatha,-38.4833,145.95,Australia,AU,Victoria,,5119,5119
Leopold,-38.1892,144.4644,Australia,AU,Victoria,,12814,12814
Leschenault,-33.245,115.735,Australia,AU,Western Australia,,2932,2932
Lesmurdie,-31.994,116.05,Australia,AU,Western Australia,,8437,8437
Leura,-33.7089,150.3353,Australia,AU,New South Wales,,4644,4644
Lewiston,-34.6044,138.5914,Australia,AU,South Australia,,2947,2947
Lismore,-28.8167,153.2833,Australia,AU,New South Wales,,28720,3579
Lithgow,-33.4833,150.15,Australia,AU,New South Wales,,12973,5201
LittleHampton,-35.05,138.85,Australia,AU,South Australia,,3044,3044
Lobethal,-34.9,138.8667,Australia,AU,South Australia,,2527,2527
LoganVillage,-27.7667,153.1,Australia,AU,Queensland,,3586,3586
Longford,-41.5958,147.122,Australia,AU,Tasmania,,3863,3863
Longreach,-23.4422,144.2491,Australia,AU,Queensland,,2970,2970
Lowood,-27.4667,152.5833,Australia,AU,Queensland,,3336,3336
Loxton,-34.4539,140.5669,Australia,AU,South Australia,,3838,3838
Lysterfield,-37.9333,145.3,Australia,AU,Victoria,,6663,6663
Mackay,-21.1411,149.1861,Australia,AU,Queensland,,80148,3659
Macksville,-30.7175,152.9172,Australia,AU,New South Wales,,2598,2598
Maclean,-29.4567,153.2011,Australia,AU,New South Wales,,2628,2628
Maddingley,-37.6864,144.4336,Australia,AU,Victoria,,3453,3453
Maffra,-37.95,146.983,Australia,AU,Victoria,,5280,5280
Maitland,-32.7167,151.55,Australia,AU,New South Wales,,78015,1885
Maleny,-26.758,152.8513,Australia,AU,Queensland,,3441,3441
Mandurah,-32.5289,115.7231,Australia,AU,Western Australia,,7837,7837
Manilla,-30.7483,150.7178,Australia,AU,New South Wales,,2550,2550
Manjimup,-34.2411,116.1464,Australia,AU,Western Australia,,4349,4349
Mannum,-34.9151,139.3044,Australia,AU,South Australia,,2644,2644
Mansfield,-37.05,146.083,Australia,AU,Victoria,,4787,4787
Marcoola,-26.5833,153.083,Australia,AU,Queensland,,3173,3173
Mareeba,-16.9833,145.4167,Australia,AU,Queensland,,11079,11079
MargaretRiver,-33.955,115.075,Australia,AU,Western Australia,,6392,6392
Margate,-43.0294,147.2617,Australia,AU,Tasmania,,3920,3920
Marian,-21.1453,148.9431,Australia,AU,Queensland,,3903,3903
Maryborough,-25.5375,152.7019,Australia,AU,Queensland,,27282,15406
Maryborough,-37.05,143.735,Australia,AU,Victoria,,7921,7921
McCrae,-38.3497,144.9281,Australia,AU,Victoria,,2823,2823
McLarenVale,-35.2198,138.5411,Australia,AU,South Australia,,3096,3096
McMinnsLagoon,-12.5329,131.05,Australia,AU,Northern Territory,,5025,5025
Melbourne,-37.8136,144.9631,Australia,AU,Victoria,admin,5078193,4529500
Melton,-37.6833,144.5833,Australia,AU,Victoria,,8069,8069
Merbein,-34.1667,142.05,Australia,AU,Victoria,,2713,2713
Merimbula,-36.8983,149.9011,Australia,AU,New South Wales,,3544,3544
Merredin,-31.482,118.279,Australia,AU,Western Australia,,2850,2850
Merrimac,-28.05,153.3667,Australia,AU,New South Wales,,7071,7071
Mildura,-34.1889,142.1583,Australia,AU,Victoria,,32738,32738
Millicent,-37.5967,140.3524,Australia,AU,South Australia,,4734,4734
MinersRest,-37.486,143.757,Australia,AU,Victoria,,3095,3095
Mittagong,-34.45,150.45,Australia,AU,New South Wales,,8999,5767
Moama,-36.0833,144.75,Australia,AU,New South Wales,,4198,4198
Moe,-38.1722,146.2678,Australia,AU,Victoria,,8778,8778
Molong,-33.0981,148.8561,Australia,AU,New South Wales,,2577,2577
Mooloolah,-26.7625,152.9633,Australia,AU,Queensland,,3321,3321
MoorePark,-24.7108,152.2388,Australia,AU,Queensland,,2650,2650
Mooroopna,-36.3833,145.35,Australia,AU,Victoria,,7942,7942
Moranbah,-22.0016,148.0533,Australia,AU,Queensland,,8735,8735
Moree,-29.465,149.8344,Australia,AU,New South Wales,,9311,9311
Morisset,-33.115,151.5011,Australia,AU,New South Wales,,2857,2857
Moruya,-35.9111,150.0806,Australia,AU,New South Wales,,3982,3982
Morwell,-38.2333,146.4,Australia,AU,Victoria,,14026,13771
MossVale,-34.5483,150.3678,Australia,AU,New South Wales,,8579,8579
MountBarker,-35.0667,138.85,Australia,AU,South Australia,,16629,13842
MountCotton,-27.6188,153.221,Australia,AU,Queensland,,6835,6835
MountEliza,-38.189,145.092,Australia,AU,Victoria,,17888,17888
MountEvelyn,-37.7833,145.3833,Australia,AU,Victoria,,9702,9702
MountGambier,-37.8294,140.7828,Australia,AU,South Australia,,29639,25512
MountIsa,-20.7333,139.5,Australia,AU,Queensland,,18588,118
MountLow,-19.2247,146.6808,Australia,AU,Queensland,,4655,4655
Mudgee,-32.6125,149.5872,Australia,AU,New South Wales,,10923,10923
Mullumbimby,-28.55,153.5,Australia,AU,New South Wales,,3172,3172
MurrayBridge,-35.117,139.267,Australia,AU,South Australia,,18779,14560
Murrumbateman,-34.9625,149.0261,Australia,AU,New South Wales,,3219,3219
Murwillumbah,-28.3333,153.3833,Australia,AU,New South Wales,,7032,7032
Muswellbrook,-32.2654,150.8885,Australia,AU,New South Wales,,12364,12075
Myrtleford,-36.55,146.717,Australia,AU,Victoria,,3193,3193
Nairne,-35.0333,138.9167,Australia,AU,South Australia,,4842,4842
Nambour,-26.6269,152.9592,Australia,AU,Queensland,,11187,11187
NambuccaHeads,-30.6414,152.9906,Australia,AU,New South Wales,,6327,6327
Nanango,-26.6667,152,Australia,AU,Queensland,,3599,3599
Naracoorte,-36.955,140.7429,Australia,AU,South Australia,,5960,5960
Narangba,-27.2015,152.9655,Australia,AU,Queensland,,18573,18573
Narooma,-36.2,150.1333,Australia,AU,New South Wales,,2605,2605
Narrabri,-30.3317,149.7678,Australia,AU,New South Wales,,7606,7606
Narrandera,-34.7483,146.5511,Australia,AU,New South Wales,,4375,4375
NarreWarrenNorth,-37.9833,145.3167,Australia,AU,Victoria,,7674,7674
Narrogin,-32.936,117.178,Australia,AU,Western Australia,,4274,4274
Narromine,-32.2333,148.2333,Australia,AU,New South Wales,,4689,4689
NelsonBay,-32.715,152.1511,Australia,AU,New South Wales,,11820,11820
Nerang,-27.9956,153.322,Australia,AU,Queensland,,16864,16864
Newcastle,-32.9167,151.75,Australia,AU,New South Wales,,322278,152984
Newman,-23.3539,119.7319,Australia,AU,Western Australia,,4567,4567
NewNorfolk,-42.7828,147.0594,Australia,AU,Tasmania,,5432,5432
Nhulunbuy,-12.1825,136.7819,Australia,AU,Northern Territory,,3240,3240
Ningi,-27.0667,153.0833,Australia,AU,Queensland,,4675,4675
Northam,-31.6531,116.6661,Australia,AU,Western Australia,,6548,6548
NorthBeach,-31.861,115.758,Australia,AU,Western Australia,,3410,3410
NorthMackay,-21.1216,149.1783,Australia,AU,Queensland,,5933,5933
NorthTamborine,-27.9694,153.1992,Australia,AU,Queensland,,7506,7506
NorthWonthaggi,-38.6,145.6,Australia,AU,Victoria,,2806,2806
Nowra,-34.8833,150.6,Australia,AU,New South Wales,,37420,9193
Numurkah,-36.0833,145.4333,Australia,AU,Victoria,,4477,4477
Nuriootpa,-34.4667,138.9833,Australia,AU,South Australia,,6314,6314
Oakey,-27.4338,151.7211,Australia,AU,Queensland,,4705,4705
Oberon,-33.7167,149.8667,Australia,AU,New South Wales,,3256,3256
OceanShores,-28.5092,153.5375,Australia,AU,New South Wales,,5137,5137
OldBar,-31.9667,152.583,Australia,AU,New South Wales,,4389,4389
Orange,-33.2833,149.1,Australia,AU,New South Wales,,40493,38097
Pakenham,-38.0712,145.4878,Australia,AU,Victoria,,46421,46421
PalmIsland,-18.7345,146.5794,Australia,AU,Queensland,,2455,2455
Palmwoods,-26.6883,152.9597,Australia,AU,Queensland,,5676,5676
Parkes,-33.095,148.2628,Australia,AU,New South Wales,,11408,11408
Paynesville,-37.9167,147.7167,Australia,AU,Victoria,,3480,3480
Pearcedale,-38.203,145.231,Australia,AU,Victoria,,3821,3821
Penguin,-41.1167,146.0708,Australia,AU,Tasmania,,3849,3849
Penrith,-33.7511,150.6942,Australia,AU,New South Wales,,13295,13295
PeregianBeach,-26.481,153.096,Australia,AU,Queensland,,3791,3791
Perth,-31.9522,115.8589,Australia,AU,Western Australia,admin,2059484,2039200
Perth,-41.5731,147.1714,Australia,AU,Tasmania,,2965,2965
Picton,-34.1817,150.6011,Australia,AU,New South Wales,,4816,4816
Pinjarra,-32.63,115.8711,Australia,AU,Western Australia,,4910,4910
Pittsworth,-27.7167,151.6333,Australia,AU,Queensland,,3294,3294
PointLonsdale,-38.2833,144.6,Australia,AU,Victoria,,2684,2684
PointVernon,-25.2538,152.8177,Australia,AU,Queensland,,5699,5699
Pomona,-26.3625,152.8564,Australia,AU,Queensland,,2910,2910
Portarlington,-38.1167,144.65,Australia,AU,Victoria,,3619,3619
PortAugusta,-32.4925,137.7658,Australia,AU,South Australia,,13799,6562
PortDouglas,-16.4834,145.4652,Australia,AU,Queensland,,3504,3504
PortFairy,-38.384,142.235,Australia,AU,Victoria,,3340,3340
PortHedland,-20.31,118.6011,Australia,AU,Western Australia,,14320,4180
Portland,-38.3333,141.6,Australia,AU,Victoria,,10900,9712
PortLincoln,-34.7322,135.8586,Australia,AU,South Australia,,16326,14120
PortMacquarie,-31.4333,152.9,Australia,AU,New South Wales,,47973,44830
PortPirie,-33.1858,138.0169,Australia,AU,South Australia,,14188,195
Pottsville,-28.3869,153.5608,Australia,AU,New South Wales,,6704,6704
Proserpine,-20.4017,148.5814,Australia,AU,Queensland,,3562,3562
QuakersHill,-33.7344,150.8789,Australia,AU,New South Wales,,27080,27080
Queanbeyan,-35.3533,149.2342,Australia,AU,New South Wales,,36348,6237
Quirindi,-31.5081,150.68,Australia,AU,New South Wales,,3444,3444
Rasmussen,-19.3497,146.716,Australia,AU,Queensland,,4456,4456
RaymondTerrace,-32.7615,151.7441,Australia,AU,New South Wales,,12820,12820
RedCliffs,-34.3075,142.1881,Australia,AU,Victoria,,5060,5060
Renmark,-34.1741,140.7418,Australia,AU,South Australia,,4634,4634
Richmond,-33.5983,150.7511,Australia,AU,New South Wales,,5482,5482
Riddell,-37.4667,144.683,Australia,AU,Victoria,,3753,3753
Riverview,-27.6,152.85,Australia,AU,Queensland,,3073,3073
Robinvale,-34.5833,142.7667,Australia,AU,Victoria,,3088,3088
Rochedale,-27.5952,153.1233,Australia,AU,Queensland,,15317,15317
Rochester,-36.3667,144.7,Australia,AU,Victoria,,3113,3113
Rockhampton,-23.375,150.5117,Australia,AU,Queensland,,78592,78592
Roma,-26.5733,148.7869,Australia,AU,Queensland,,6848,6848
Romsey,-37.35,144.75,Australia,AU,Victoria,,4412,4412
Rosewood,-27.6333,152.583,Australia,AU,Queensland,,2834,2834
RoxbyDowns,-30.5625,136.8785,Australia,AU,South Australia,,4500,3884
Rutherford,-32.715,151.5317,Australia,AU,New South Wales,,11884,11884
Rye,-38.377,144.838,Australia,AU,Victoria,,8416,8416
SaintGeorge,-28.0363,148.5797,Australia,AU,Queensland,,3048,3048
SaintGeorgesBasin,-35.13,150.6269,Australia,AU,New South Wales,,2913,2913
SaintLeonards,-38.1667,144.7167,Australia,AU,Victoria,,2480,2480
SalamanderBay,-32.7292,152.0894,Australia,AU,New South Wales,,4815,4815
Sale,-38.1,147.0667,Australia,AU,Victoria,,15135,13673
Samford,-27.3667,152.8833,Australia,AU,Queensland,,10931,796
